	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	1.27014173853	-1.08858075545	-1.91194234722	-2.01937800079	-1.46029400088	-0.0910049486848	-1.08881555326	0.119399028827	0.201827085153	-0.557560605242	-0.565331074096	-1.60068514329	-0.734868005138	-2.64706930632	-3.42876871678	-0.897185026856	-0.408817091674	-0.434600539949
a	-1.08858075545	2.15972766238	-0.00422302795002	-1.949297505	-2.17924223164	-0.759604793178	-1.73485410902	-0.789008634882	-0.993522299929	-0.668104411777	-0.540515299699	-2.24000612134	-1.18643701257	-1.12571302428	-3.10072229615	-1.00242726991	-0.900154662792	-0.586883821767
q	-1.91194234722	-0.00422302795002	4.81116270683	-2.98928115233	-3.0492469865	-1.82396089679	-2.01949342957	-1.93544006805	-1.6486240465	-0.136521283806	-1.10205483632	-2.91882474861	-1.96828967934	-2.81508234536	-0.661277973576	-1.55070960764	-2.11746466377	-1.53570235298
x	-2.01937800079	-1.949297505	-2.98928115233	2.59964922328	0.185492170403	0.216659980653	-1.43211468564	-0.279765719158	-0.42077913477	-0.965344247812	-0.902874220435	-2.20951557227	-1.64423805766	-3.29292080548	-3.51835073539	0.0509146289016	0.0547411286749	-0.0830205129895
s	-1.46029400088	-2.17924223164	-3.0492469865	0.185492170403	5.66031836647	2.53329207043	-0.977807061388	-0.148806611916	0.05061490207	-0.664997694068	-1.06892558991	-1.68045560583	-1.74235781514	-3.23641219512	-3.35425506173	-0.170639827081	0.631165404517	1.40940465483
w	-0.0910049486848	-0.759604793178	-1.82396089679	0.216659980653	2.53329207043	8.11733248615	0.780153525881	1.54259508893	2.88287834813	0.147633724223	-1.2737920538	0.0269167757981	-1.09678040001	-3.01103276209	-3.76329280699	-0.121914378715	0.48367803479	2.41320844539
c	-1.08881555326	-1.73485410902	-2.01949342957	-1.43211468564	-0.977807061388	0.780153525881	3.51034303347	1.09912053033	1.12627066322	0.484324078237	-0.462902293358	-1.14909827283	-1.29537943708	-3.01162203016	-3.50974949365	0.318120608448	0.115726426395	-0.0752438055923
d	0.119399028827	-0.789008634882	-1.93544006805	-0.279765719158	-0.148806611916	1.54259508893	1.09912053033	5.48959004031	2.34874748198	0.3275403879	-0.257305836432	-0.0418429615605	-0.582216531594	-2.63075155616	-3.18951090261	0.137338039884	1.00936667748	1.18927013056
e	0.201827085153	-0.993522299929	-1.6486240465	-0.42077913477	0.05061490207	2.88287834813	1.12627066322	2.34874748198	5.76175664041	0.537082367522	0.1359928076	0.453342337566	-0.108791680771	-2.21584004744	-3.6873700148	1.03073999707	1.66764428233	1.951216609
b	-0.557560605242	-0.668104411777	-0.136521283806	-0.965344247812	-0.664997694068	0.147633724223	0.484324078237	0.3275403879	0.537082367522	4.83326618586	0.420943844855	-0.784941265123	-0.617272809589	-2.1774056949	-3.04833971658	-0.374579211297	-0.101484317383	-0.245022712776
g	-0.565331074096	-0.540515299699	-1.10205483632	-0.902874220435	-1.06892558991	-1.2737920538	-0.462902293358	-0.257305836432	0.1359928076	0.420943844855	5.17888338372	-0.07881248734	0.876784421982	0.671797199766	1.14869454842	1.8576385218	1.46030948388	1.1543010451
t	-1.60068514329	-2.24000612134	-2.91882474861	-2.20951557227	-1.68045560583	0.0269167757981	-1.14909827283	-0.0418429615605	0.453342337566	-0.784941265123	-0.07881248734	2.59908757203	-0.239146324787	-1.61834666406	-3.06186268661	-0.0113986972939	0.526717476697	0.655965116729
v	-0.734868005138	-1.18643701257	-1.96828967934	-1.64423805766	-1.74235781514	-1.09678040001	-1.29537943708	-0.582216531594	-0.108791680771	-0.617272809589	0.876784421982	-0.239146324787	3.40993306401	0.0389671397694	-0.506258834015	0.889532348476	1.14501552565	0.922813299262
f	-2.64706930632	-1.12571302428	-2.81508234536	-3.29292080548	-3.23641219512	-3.01103276209	-3.01162203016	-2.63075155616	-2.21584004744	-2.1774056949	0.671797199766	-1.61834666406	0.0389671397694	2.82989261211	-0.259634518708	-0.950707892043	-0.88057557637	-1.12050205583
r	-3.42876871678	-3.10072229615	-0.661277973576	-3.51835073539	-3.35425506173	-3.76329280699	-3.50974949365	-3.18951090261	-3.6873700148	-3.04833971658	1.14869454842	-3.06186268661	-0.506258834015	-0.259634518708	4.75642854682	-0.287065028952	-1.17471792249	0.16407560551
n	-0.897185026856	-1.00242726991	-1.55070960764	0.0509146289016	-0.170639827081	-0.121914378715	0.318120608448	0.137338039884	1.03073999707	-0.374579211297	1.8576385218	-0.0113986972939	0.889532348476	-0.950707892043	-0.287065028952	5.47450210429	3.22978620578	2.43539375729
h	-0.408817091674	-0.900154662792	-2.11746466377	0.0547411286749	0.631165404517	0.48367803479	0.115726426395	1.00936667748	1.66764428233	-0.101484317383	1.46030948388	0.526717476697	1.14501552565	-0.88057557637	-1.17471792249	3.22978620578	6.08454857884	3.13653868197
y	-0.434600539949	-0.586883821767	-1.53570235298	-0.0830205129895	1.40940465483	2.41320844539	-0.0752438055923	1.18927013056	1.951216609	-0.245022712776	1.1543010451	0.655965116729	0.922813299262	-1.12050205583	0.16407560551	2.43539375729	3.13653868197	7.59957648654
